Orbital Period (days),Eccentricity,BH mass (Msun),Companion mass (Msun),Age (Myr)
5465297.987350,0.757736,8.372928,0.860572,8002.656308
264658.137837,0.506131,7.428356,0.963230,8493.388517
1185503.245957,0.615798,8.238160,0.394093,5764.411967
103571.028080,0.338907,8.474772,0.645752,8539.396976
2787330.046665,0.787756,8.361871,0.330725,5226.165801
1296400.581316,0.127691,7.307007,0.604883,7921.647659
886046.241712,0.560131,8.486776,0.994476,3881.286461
3621447.255998,0.273236,8.277178,0.812159,8532.933260
494894.287389,0.669734,8.032490,0.786879,4668.975599
7.983039,0.056065,8.102413,0.738700,5896.800747
4314386.395502,0.557982,8.324730,0.862806,8517.682535
8120011.136279,0.311039,7.473689,1.344464,1177.430231
1914918.553291,0.776391,7.797193,0.135607,4132.453239
652407.194631,0.758434,25.528232,0.547664,9217.108501
3.707271,0.666786,7.926845,0.463969,6704.849120
1851609.894388,0.801903,24.850242,0.492981,7745.344824
500457.873643,0.146884,8.146609,0.774169,898.484917
1598028.998680,0.149762,7.461172,0.204816,708.060835
136851.663866,0.471030,16.743676,0.906038,8479.883732
423530.054489,0.448740,8.659825,1.188753,2332.195397
1689342.144339,0.666172,7.628165,0.902585,2547.639721
1001635.674661,0.850220,7.511155,1.203721,2434.117162
4119479.093139,0.117398,7.606446,1.108388,5226.664105
4437575.075888,0.884275,7.503674,0.825803,3821.193050
2904695.545193,0.665574,7.380977,0.080341,5595.546794
2289112.170701,0.870324,11.131806,0.794958,8563.418686
132810.916823,0.650055,8.157191,0.877907,8571.228883
1083442.313330,0.659194,7.336518,1.113262,6963.346656
173183.656440,0.627774,17.850989,0.513177,9369.035332
696404.146124,0.079405,7.863657,0.201656,6523.568085
323309.465566,0.620472,11.466423,0.536906,5808.853099
1225824.499142,0.890350,10.133247,0.271327,8970.492447
218231.851845,0.222782,7.776529,0.818843,4119.794020
1631785.217334,0.787043,9.903592,0.930749,8262.332692
2813307.659394,0.519556,7.491283,2.145725,291.778534
312398.074229,0.885286,13.084075,0.418387,9539.078933
1608980.290113,0.413857,12.146095,0.142573,10327.434254
0.197509,0.000000,7.266160,0.026866,11936.200708
4700923.710877,0.679819,7.731087,1.130441,4627.032509
4715867.703254,0.582637,17.532376,1.025452,7927.130047
1801187.158848,0.321979,24.782796,0.164534,11528.253595
739340.880382,0.473787,11.648855,0.500160,9749.153790
988003.689810,0.910685,15.842890,0.799725,11054.956408
230023.026054,0.511372,7.331152,2.111299,353.122624
449079.442273,0.487395,8.102675,0.787822,7606.141538
982298.225697,0.350887,7.344930,1.288307,328.198320
2938486.245255,0.649231,7.350825,1.053902,2820.732034
127029.974187,0.542482,7.421780,0.235387,7503.222745
3117224.763683,0.855425,7.592007,0.261366,2059.141697
1043393.209954,0.193934,8.348206,0.989821,6592.573313
8059782.080783,0.331010,7.590104,1.264942,2438.901662
1800721.074263,0.524157,15.582959,0.207203,8492.459043
922200.392706,0.752419,14.772702,0.399592,12110.269389
603725.319989,0.283995,8.300264,0.430826,8428.102784
258715.242894,0.330091,8.185817,1.468685,3101.690423
197683.940835,0.417008,7.346059,0.552395,5311.423151
14385612.418409,0.798451,7.819246,0.643149,4442.083685
5108252.829383,0.606225,7.817783,0.607883,5933.995253
221889.276806,0.489889,8.184364,0.875402,7628.071006
140274.066895,0.626213,17.691309,0.823362,11566.306441
10044971.922004,0.206490,7.348119,1.544129,2038.604364
